Event,Zone,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost,latitude,longitude
Severe Storm - Sydney,New South Wales,Sydney,Storm,1991-01-21,1991-01-21,1,100,13840,-33.8698439,151.2082848
Severe Storm - Ballarat,Victoria,Melbourne,Storm,1989-11-16,1989-11-16,,,2000,-37.8142454,144.9631732
Severe Storm - Adelaide,South Australia,Adelaide,Storm,1986-12-06,1986-12-08,,,1000,-34.9281805,138.5999312
"Severe Storm - Newcastle, Sydney, Wollongong",New South Wales,Sydney ,Storm,1978-02-10,1978-02-11,,8,1500,-33.8698439,151.2082848
Severe Storm - Sydney,New South Wales,Sydney,Storm,1977-01-21,1977-01-21,1,,1500,-33.8698439,151.2082848
Severe Storm - Western Sydney,New South Wales,Sydney,Storm,1976-11-09,1976-11-09,,10,73200,-33.8698439,151.2082848
Storm - Brisbane,Queensland,Brisbane,Storm,2014-11-27,2014-11-27,,,104000,-27.4689682,153.0234991
Storm - Sydney Hailstorm,New South Wales,Sydney,Storm,1999-04-14,1999-04-14,1,50,170000,-33.8698439,151.2082848
Maritime/Coastal - Sydney to Hobart Yacht Race ,Victoria,Bass Strait,Maritime/Coastal,1998-12-26,1998-12-30,6,70,500,-39.4730144,145.2623668
Tornado - Kin Kin,Queensland,Brisbane,Tornado,1971-08-14,1971-08-14,3,,2035.3129,-27.4689682,153.0234991
Transport - Merredin Rail Collision,Western Australia,Merredin,Transport,1996-01-13,1996-01-13,2,1,1000,-31.4813329,118.2779117
Urban Fire - Melbourne Warehouse,Victoria,Melbourne,Urban Fire,2004-11-12,2004-11-12,,,2000,-37.8142454,144.9631732
"Urban Fire - Mitcham Shopping Centre, Adelaide",South Australia,Adelaide,Urban Fire,2004-08-22,2004-08-22,,,2500,-34.9281805,138.5999312
